Name,IATA,ICAO,Country
Windward Islands Airways,WM,\N,Netherlands Antilles
Southwest Airlines,WN,SWA,United States
World Airways,WO,WOA,United States
Island Air (WP),WP,MKU,United States
PanAm World Airways,WQ,PQW,United States
Royal Tongan Airlines,WR,HRH,Tonga
WestJet Encore,WR,WEN,Canada
WestJet,WS,WJA,Canada
Wizz Air Ukraine,WU,WAU,Ukraine
Swe Fly,WV,SWV,Sweden
bmibaby,WW,BMI,United Kingdom
CityJet,WX,BCY,Ireland
Oman Air,WY,OMA,Oman
Red Wings,WZ,RWZ,Russia
Nik Airways,X1,\N,Saudi Arabia
TUIfly,X3,HLX,Germany
Fly Romania,X5,OTJ,Romania
Chitaavia,X7,CHF,Russia
Atlantic Air Services,X7,\N,United States
FRA Air,X9,X9F,Germany
Islands Express,X9,\N,United States
XAIR USA,XA,XAU,United States
NEXT Brasil,XB,NXB,Brazil
ExpressJet,XE,BTA,United States
Vladivostok Air,XF,VLK,Russia
Calima Aviacion,XG,CLI,Spain
Mesaba Airlines,XJ,MES,United States
Corse-Mediterranee,XK,CCM,France
Aerolane,XL,LNE,Ecuador
Alitalia Express,XM,SMX,Italy
Xpressair,XN,\N,Indonesia
China Xinhua Airlines,XO,CXH,China
LTE International Airways,XO,LTE,Spain
Xtra Airways,XP,CXP,United States
Caribbean Wings,XP,ZYZ,Turks and Caicos Islands
XPTO,XP,XPT,Portugal
SunExpress,XQ,SXS,Turkey
Skywest Australia,XR,\N,Australia
SITA,XS,SIT,Belgium
Texas Spirit,XS,TXP,United States
Air Exel,XT,AXL,Netherlands
BVI Airways,XV,\N,British Virgin Islands
Sky Express,XW,SXR,Russia
Greenfly,XX,GFY,Spain
Nas Air,XY,KNE,Saudi Arabia
Congo Express,XZ,\N,Congo (Kinshasa)
Yellow Air Taxi,Y0,\N,United States
Yellowstone Club Private Shuttle,Y1,\N,United States
Volaris,Y4,VOI,Mexico
Pace Airlines,Y5,PCE,United States
Asia Wings,Y5,AWA,Kazakhstan
NordStar Airlines,Y7,\N,Russia
Yangtze River Express,Y8,YZR,China
Marusya Airways,Y8,MRS,Russia
Kish Air,Y9,IRK,Iran
Ciel Canadien,YC,YCC,Canada
Gomelavia,YD,\N,Belarus
Yellowtail,YE,YEL,United States
Yangon Airways Ltd.,YH,\N,Burma
TUR Avrupa Hava YollarÄ±,YI,\N,Turkey
Cyprus Turkish Airlines,YK,,Turkey
Yamal Airlines,YL,LLM,Russia
Montenegro Airlines,YM,MGX,Montenegro
TransHolding System,YO,TYS,Brazil
Aero Lloyd (YP),YP,AEF,Germany
Polet Airlines (Priv),YQ,\N,Russia
SENIC AIRLINES,YR,\N,United States
Régional,YS,RAE,France
Air Togo,YT,TGA,Togo
Yeti Airways,YT,\N,Nepal
Mesa Airlines,YV,ASH,United States
Air Nostrum,YW,ANE,Spain
Midwest Airlines,YX,MEP,United States
Virginwings,YY,VWA,Germany
LSM AIRLINES ,YZ,YZZ,Russia
All Argentina Express,Z0,Z9H,Argentina
Zest Air,Z2,\N,Philippines
Avient Aviation,Z3,SMJ,Zimbabwe
Zoom Airlines,Z4,OOM,Canada
INAVIA Internacional,Z5,IIR,Argentina
ZABAIKAL AIRLINES,Z6,ZTT,Russia
ADC Airlines,Z7,ADK,Nigeria
Zimbabwean Airlines,Z7,\N,Zimbabwe
REDjet,Z7,\N,Barbados
Amaszonas,Z8,AZN,Bolivia
Flightlink Tanzania,Z9,\N,Tanzania
Access Air,ZA,CYD,United States
Interavia Airlines,ZA,SUW,Russia
Air Bourbon,ZB,BUB,Reunion
Monarch Airlines,ZB,MON,United Kingdom
Korongo Airlines,ZC,KGO,Congo (Kinshasa)
Arcus-Air Logistic,ZE,AZE,Germany
Lineas Aereas Azteca,ZE,LCD,Mexico
Eastar Jet,ZE,ESR,South Korea
Athens Airways,ZF,\N,Greece
Viva Macau,ZG,VVM,Macao
Shenzhen Airlines,ZH,CSZ,China
Aigle Azur,ZI,AAF,France
Zambezi Airlines (ZMA),ZJ,\N,Zambia
Great Lakes Airlines,ZK,GLA,United States
Regional Express,ZL,RXA,Australia
Apache Air,ZM,IWA,United States
Zenith International Airline,ZN,ZNA,Thailand
Silk Way Airlines,ZP,AZQ,Azerbaijan
Zabaykalskii Airlines,ZP,ZZZ,Russia
Annsett New Zealand (NZA),ZQ,\N,New Zealand
Locair,ZQ,LOC,United States
Sama Airlines,ZS,SMY,Saudi Arabia
Titan Airways,ZT,AWC,United Kingdom
Tomp Airlines,ZT,T9P,Chile
Helios Airways,ZU,HCY,Cyprus
Air Midwest,ZV,AMW,United States
V Air,ZV,VAX,Taiwan
Air Wisconsin,ZW,AWI,United States
Air Georgian,ZX,GGN,Canada
Japan Regio,ZX,ZXY,Japan
Ada Air,ZY,ADE,Albania
Zz,ZZ,\N,Belgium
Аэросервис,АЯ,\N,Russia
KMV,МИ,\N,Russia
Polar Airlines,ЯП,\N,Russia
